County,NumCases,Province,Area,Pop2009
Baringo,,Rift Valley,"11,075.30","5,55,561"
Bomet,,Rift Valley,"1,997.90","7,30,129"
Bungoma,,Western,"2,206.90","13,75,063"
Busia,,Western,"1,628.40","7,43,946"
Elgeyo-Marakwet,,Rift Valley,"3,049.70","3,69,998"
Embu,,Eastern,"2,555.90","5,16,212"
Garissa,,North Eastern,"45,720.20","6,23,060"
Homa Bay,,Nyanza,"3,154.70","9,63,794"
Isiolo,,Eastern,"25,336.10","1,43,294"
Kajiado,2,Rift Valley,"21,292.70","6,87,312"
Kakamega,2,Western,"3,033.80","16,60,651"
Kericho,,Rift Valley,"2,454.50","7,52,396"
Kiambu,4,Central,"2,449.20","16,23,282"
Kilifi,9,Coast,"12,245.90","11,09,735"
Kirinyaga,,Central,"1,205.40","5,28,054"
Kisii,,Nyanza,"1,317.90","11,52,282"
Kisumu,,Nyanza,"2,009.50","9,68,909"
Kitui,1,Eastern,"24,385.10","10,12,709"
Kwale,1,Coast,"8,270.30","6,49,931"
Laikipia,1,Rift Valley,"8,696.10","3,99,227"
Lamu,,Coast,"6,497.70","1,01,539"
Machakos,4,Eastern,"5,952.90","10,98,584"
Makueni,,Eastern,"8,008.90","8,84,527"
Mandera,,North Eastern,"25,797.70","10,25,756"
Marsabit,,Eastern,"66,923.10","2,91,166"
Meru,,Eastern,"6,930.10","13,56,301"
Migori,,Nyanza,"2,586.40","9,17,170"
Mombasa,11,Coast,212.5,"9,39,370"
Murang'a,2,Central,"2,325.80","9,42,581"
Nairobi,57,Nairobi,694.9,"31,38,369"
Nakuru,3,Rift Valley,"7,509.50","16,03,325"
Nandi,,Rift Valley,"2,884.50","7,52,965"
Narok,,Rift Valley,"17,921.20","8,50,920"
Nyamira,1,Nyanza,912.5,"5,98,252"
Nyandarua,1,Central,"3,107.70","5,96,268"
Nyeri,,Central,"2,361.00","6,93,558"
Samburu,,Rift Valley,"20,182.50","2,23,947"
Siaya,,Nyanza,"2,496.10","8,42,304"
Taita-Taveta,,Coast,"17,083.90","2,84,657"
Tana River,,Coast,"35,375.80","2,40,075"
Tharaka-Nithi,,Eastern,"2,409.50","3,65,330"
Trans Nzoia,,Rift Valley,"2,469.90","8,18,757"
Turkana,,Rift Valley,"71,597.80","8,55,399"
Uasin Gishu,,Rift Valley,"2,955.30","8,94,179"
Vihiga,1,Western,531.3,"5,54,622"
wajir,,North Eastern,"55,840.60","6,61,941"
West Pokot,,Rift Valley,"8,418.20","5,12,690"
