country,date_test,dailyTests,cumTest
Kenya,43904,,23
Kenya,43905,88,111
Kenya,43906,,111
Kenya,43907,1,112
Kenya,43908,21,133
Kenya,43909,,133
Kenya,43910,,133
Kenya,43911,,133
Kenya,43912,,133
Kenya,43913,,133
Kenya,43914,82,215
Kenya,43915,,215
Kenya,43916,74,289
Kenya,43917,156,445
Kenya,43918,81,526
Kenya,43919,69,595
Kenya,43920,172,767
Kenya,43921,234,1001
Kenya,43922,380,1381
Kenya,43923,,1381
Kenya,43924,,1381
Kenya,43925,372,1753
Kenya,43926,,1753
Kenya,43927,,1753
Kenya,43928,696,2449
