County,NumCases,Province,Area,Pop2009
BARINGO,47,Rift Valley,11075.3,555561
BOMET,126,Rift Valley,1997.9,730129
BUNGOMA,48,Western,2206.9,1375063
BUSIA,1171,Western,1628.4,743946
ELEGEYO-MARAKWET,7,Rift Valley,3049.7,369998
EMBU,131,Eastern,2555.9,516212
GARISSA,343,North Eastern,45720.2,623060
HOMA BAY,65,Nyanza,3154.7,963794
ISIOLO,61,Eastern,25336.1,143294
KAJIADO,1931,Rift Valley,21292.7,687312
KAKAMEGA,67,Western,3033.8,1660651
KERICHO,281,Rift Valley,2454.5,752396
KIAMBU,2628,Central,2449.2,1623282
KILIFI,202,Coast,12245.9,1109735
KIRINYAGA,86,Central,1205.4,528054
KISII,220,Nyanza,1317.9,1152282
KISUMU,331,Nyanza,2009.5,968909
KITUI,267,Eastern,24385.1,1012709
KWALE,79,Coast,8270.3,649931
LAIKIPIA,251,Rift Valley,8696.1,399227
LAMU,115,Coast,6497.7,101539
MACHAKOS,1286,Eastern,5952.9,1098584
MAKUENI,163,Eastern,8008.9,884527
MANDERA,28,North Eastern,25797.7,1025756
MARSABIT,18,Eastern,66923.1,291166
MERU,104,Eastern,6930.1,1356301
MIGORI,459,Nyanza,2586.4,917170
MOMBASA,2592,Coast,212.5,939370
MURANG'A,183,Central,2325.8,942581
NAIROBI,20028,Nairobi,694.9,3138369
NAKURU,945,Rift Valley,7509.5,1603325
NANDI,71,Rift Valley,2884.5,752965
NAROK,248,Rift Valley,17921.2,850920
NYAMIRA,25,Nyanza,912.5,598252
NYANDARUA,58,Central,3107.7,596268
NYERI,295,Central,2361,693558
SAMBURU,50,Rift Valley,20182.5,223947
SIAYA,69,Nyanza,2496.1,842304
TAITA TAVETA,155,Coast,17083.9,284657
TANA RIVER,25,Coast,35375.8,240075
THARAKA - NITHI,45,Eastern,2409.5,365330
TRANS NZOIA,116,Rift Valley,2469.9,818757
TURKANA,167,Rift Valley,71597.8,855399
UASIN GISHU,536,Rift Valley,2955.3,894179
VIHIGA,36,Western,531.3,554622
WAJIR,39,North Eastern,55840.6,661941
WEST POKOT,7,Rift Valley,8418.2,51269
