country,date_test,dailyTests,cumTest
Kenya,3/14/2020,,23
Kenya,3/15/2020,88,111
Kenya,3/16/2020,,111
Kenya,3/17/2020,1,112
Kenya,3/18/2020,21,133
Kenya,3/19/2020,,133
Kenya,3/20/2020,,133
Kenya,3/21/2020,,133
Kenya,3/22/2020,,133
Kenya,3/23/2020,,133
Kenya,3/24/2020,82,215
Kenya,3/25/2020,,215
Kenya,3/26/2020,74,289
Kenya,3/27/2020,156,445
Kenya,3/28/2020,81,526
Kenya,3/29/2020,69,595
Kenya,3/30/2020,172,767
Kenya,3/31/2020,234,1001
Kenya,4/1/2020,380,1381
Kenya,4/2/2020,,1381
Kenya,4/3/2020,,1381
Kenya,4/4/2020,372,1753
Kenya,4/5/2020,,1753
Kenya,4/6/2020,,1753
Kenya,4/7/2020,696,2449
